"city","country","pop2024","latitude","longitude"
"Prymors'k","Ukraine",13900,46.7348,36.3442
"Shchastya","Ukraine",13800,48.7396,39.2323
"Bilyayivka","Ukraine",13762,46.4832,30.2168
"Ukrainka","Ukraine",13636,50.1432,30.7461
"Horodnya","Ukraine",13601,51.8909,31.5974
"Nova Odesa","Ukraine",13547,47.3078,31.7851
"Rozhyshche","Ukraine",13280,50.9154,25.2691
"Kaharlyk","Ukraine",13245,49.8623,30.8281
"Mykhaylivka","Ukraine",13216,47.2724,35.2224
"Terebovlya","Ukraine",13153,49.3019,25.71
"Nova Vodolaha","Ukraine",13112,49.719,35.8658
"Yavoriv","Ukraine",13008,49.9386,23.3825
"Zhovkva","Ukraine",12973,50.0583,23.9726
"Tarashcha","Ukraine",12952,49.5583,30.4926
"Myronivka","Ukraine",12871,49.6601,30.9823
"Mena","Ukraine",12766,51.5217,32.2157
"Stanytsya Luhans'ka","Ukraine",12765,48.6543,39.4794
"Zbarazh","Ukraine",12736,49.6636,25.7762
"Novomyrhorod","Ukraine",12728,48.7811,31.642
"Uzyn","Ukraine",12726,49.8262,30.4149
"Soledar","Ukraine",12662,48.6794,38.089
"Kotel'va","Ukraine",12660,50.0686,34.7586
"Bashtanka","Ukraine",12657,47.4072,32.4387
"Mala Vyska","Ukraine",12644,48.6431,31.6366
"Hvardiiske","Ukraine",12589,45.1169,34.0219
"Primorskiy","Ukraine",12560,45.119,35.4803
"Hlobyne","Ukraine",12544,49.3878,33.2596
"Hostomel","Ukraine",12450,50.5684,30.2651
"Ichnya","Ukraine",12417,50.8626,32.3942
"Solonytsivka","Ukraine",12378,49.9968,36.0346
"Yakymivka","Ukraine",12353,46.6997,35.1592
"Barvinkove","Ukraine",12344,48.9097,37.0205
"Svetlodarsk","Ukraine",12273,48.4337,38.2233
"Baranivka","Ukraine",12220,50.2969,27.6622
"Novoazovs'k","Ukraine",12200,47.1139,38.086
"Buchach","Ukraine",12082,49.0625,25.388
"Borodianka","Ukraine",12069,50.6448,29.9201
"Lokhvytsya","Ukraine",11950,50.3678,33.2602
"Shchors","Ukraine",11857,51.8186,31.945
"Ovidiopol","Ukraine",11818,46.25,30.4413
"Rokytne","Ukraine",11726,51.2796,27.214
"Kobelyaky","Ukraine",11692,49.1489,34.1965
"Nemyriv","Ukraine",11633,48.9708,28.8378
"Makariv","Ukraine",11594,50.4641,29.8113
"Rodyns'ke","Ukraine",11550,48.352,37.206
"Bobrovytsya","Ukraine",11544,50.7469,31.3948
"Kostyantynivka","Ukraine",11540,46.8167,35.4229
"Chyhyryn","Ukraine",11515,49.0838,32.6555
"Buryn'","Ukraine",11400,51.1991,33.8352
"Borzna","Ukraine",11363,51.2546,32.4269
"Mospyne","Ukraine",11300,47.8908,38.0639
"Zolochiv","Ukraine",11160,50.2799,35.9818
"Krasnogvardeyskoye","Ukraine",11134,45.5027,34.3013
"Hirs'ke","Ukraine",11046,48.7347,38.4954
"Kamin-Kashyrskyi","Ukraine",11042,51.6241,24.9586
"Chernomorskoye","Ukraine",11039,45.5066,32.6978
"Hrebinka","Ukraine",11017,50.1171,32.4361
"Mostys'ka","Ukraine",11000,49.7947,23.1508
"Vysokyy","Ukraine",10988,49.8916,36.1217
"Borshchiv","Ukraine",10959,48.8033,26.0435
"Shyroke","Ukraine",10920,47.6917,33.2571
"Khotyn","Ukraine",10799,48.5069,26.4912
"Novodnistrovs'k","Ukraine",10770,48.583,27.4407
"Illintsi","Ukraine",10770,49.1048,29.2177
"Baryshivka","Ukraine",10762,50.361,31.3217
"Oleksandrivka","Ukraine",10687,48.9634,32.2349
"Vesele","Ukraine",10683,47.0148,34.915
"Kalanchak","Ukraine",10673,46.2562,33.2907
"Letychiv","Ukraine",10669,49.3826,27.6305
"Shchyolkino","Ukraine",10593,45.4299,35.8225
"Bolekhiv","Ukraine",10590,49.0661,23.8643
"Sartana","Ukraine",10543,47.1744,37.6927
"Pomichna","Ukraine",10539,48.2422,31.4158
"Sovetskiy","Ukraine",10410,45.3427,34.9246
"Tatarbunary","Ukraine",10396,45.8373,29.6142
"Zin'kiv","Ukraine",10393,50.2081,34.3638
"Pohrebyshche","Ukraine",10354,49.4864,29.2636
"Gaspra","Ukraine",10310,44.4336,34.103
"Oktyabr'skoye","Ukraine",10244,45.2887,34.1352
"Chaplynka","Ukraine",10224,46.3651,33.5403
"Inkerman","Ukraine",10204,44.6139,33.6098
"Khodoriv","Ukraine",10172,49.4099,24.3047
"Ivankiv","Ukraine",10170,50.9386,29.8943
"Valky","Ukraine",10099,49.836,35.6122
"Sniatyn","Ukraine",10089,48.4469,25.5694
"Cherniakhiv","Ukraine",10082,50.4565,28.6702
"Derazhnya","Ukraine",10058,49.2692,27.4338
"Mizhhirya","Ukraine",10000,48.5246,23.5056
"Liuboml","Ukraine",10000,51.226,24.0373
"Pokotylivka","Ukraine",9962,49.9134,36.1751
"Radyvyliv","Ukraine",9928,50.1299,25.2558
"Vuhlehirs'k","Ukraine",9926,48.3147,38.2742
"Mar'yinka","Ukraine",9900,47.9453,37.5054
"Sokyryany","Ukraine",9877,48.4475,27.4168
"Novooleksiyivka","Ukraine",9852,46.2247,34.6403
"Gresovskiy","Ukraine",9835,45.008,34.0266
